sigma,w_ctrl,w_open,theory
0.0,0.20165690281649276,0.9999999472815425,1.0
0.5,0.13158874776419,0.5886719488419422,0.7176454693050967
1.0,0.06966137848390076,0.3039772369177872,0.38853316820300576
2.0,0.027094345694775333,0.10950359848876522,0.13707772378490596
