sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.0,25,R,0.030648934146713994,0.024585431310553883,0.060635028361601125,nan,nan,nan
0.0,26,R,0.049951398895436844,0.04289662484660021,0.07054774048836633,nan,nan,nan
0.0,27,R,0.03743291928801874,0.031239820146229745,0.06193099141788994,nan,nan,nan
0.0,28,R,0.03818412153308033,0.03204797104456787,0.06136150488512458,nan,nan,nan
0.0,29,R,0.03622503052973854,0.03049073009154404,0.057343004381945034,nan,nan,nan
0.0,0,A1,0.03508712247341759,0.027283607926767737,0.07803514546649852,1.0,1.0500321683724227,0.0
0.0,1,A1,0.02839751376322455,0.021128696519936565,0.07268817243287982,1.0,1.0055507179215035,0.0
0.0,2,A1,0.030608679083734828,0.02347705715819552,0.07131621925539308,1.0,1.0390607887554026,0.0
0.0,3,A1,0.03490993715519443,0.027570459200015177,0.07339477955179251,1.0,1.0015596031489316,0.0
0.0,4,A1,0.0402015716153097,0.032426586325583415,0.07774985289726281,1.0,1.0068345121024853,0.0
0.0,5,A1,0.027860748482553842,0.020827134109585126,0.07033614372968715,1.0,1.007032526879375,0.0
0.0,6,A1,0.023431403322384817,0.017335757774442465,0.06095645547942353,1.0,1.0789684115711156,0.0
0.0,7,A1,0.02968923790733221,0.0229610255977062,0.06728212309626008,1.0,0.979704490018322,0.0
0.0,8,A1,0.021515530082421026,0.015032754234324512,0.06482775848096513,1.0,1.083081784704795,0.0
0.0,9,A1,0.036964065794680284,0.029082241624657713,0.07881824170022571,1.0,1.0196934159482334,0.0
0.0,10,A1,0.03980684638600204,0.031992316351173285,0.07814530034828761,1.0,1.0019291022071877,0.0
0.0,11,A1,0.028669196190501182,0.021370232014339005,0.07298964176162176,1.0,1.0023922453174845,0.0
0.0,12,A1,0.020282243539814573,0.013981441052239276,0.06300802487575298,1.0,1.0208655253146521,0.0
0.0,13,A1,0.03857257066284236,0.030918439803059597,0.07654130859782762,1.0,1.0202240529209765,0.0
0.0,14,A1,0.0367074591951906,0.028477967386251985,0.08229491808938613,1.0,0.9976832693111887,0.0
0.0,15,A1,0.04616510816674821,0.038158764173460535,0.08006343993287676,1.0,1.0166941849530389,0.0
0.0,16,A1,0.0302986340868353,0.023259756643045415,0.07038877443789884,1.0,1.0390410637991772,0.0
0.0,17,A1,0.0369255245407123,0.029572900059672596,0.07352624481039707,1.0,0.9059030615074032,0.0
0.0,18,A1,0.03763726815694246,0.02975225907939045,0.0788500907755201,1.0,0.984511603055573,0.0
0.0,19,A1,0.032474359925262035,0.025140468580596275,0.07333891344665759,1.0,1.0968568285025764,0.0
0.0,20,A1,0.04280116795686534,0.03497590867318961,0.0782525928367573,1.0,0.9667461137067993,0.0
0.0,21,A1,0.030243158308784844,0.023093775316959726,0.07149382991825116,1.0,1.0796291423798439,0.0
0.0,22,A1,0.032327356090380455,0.02565706127432647,0.06670294816053982,1.0,1.0740226761926484,0.0
0.0,23,A1,0.021257159448348738,0.015234712385862562,0.060224470624861755,1.0,1.0717187515333289,0.0
0.0,24,A1,0.03178127990678515,0.024436281503974477,0.07344998402810674,1.0,1.0265181479307446,0.0
0.0,25,A1,0.02306853337639208,0.016367535395151747,0.06700997981240331,1.0,1.0593147265177352,0.0
0.0,26,A1,0.03621657494655571,0.028105400330022807,0.08111174616532901,1.0,1.0103454539935182,0.0
0.0,27,A1,0.02979088913744232,0.022862974863999703,0.06927914273442615,1.0,1.0105982099196196,0.0
0.0,28,A1,0.030641014626941805,0.023807848841093743,0.06833165785848062,1.0,1.0343019568505754,0.0
0.0,29,A1,0.029453364002971067,0.022927578228893023,0.06525785774078044,1.0,0.9717158089626439,0.0
0.0,0,A2,0.043361804651449086,0.03638747057279928,0.06974334078649808,0.13627941631774138,1.1490319274053025,0.0
0.0,1,A2,0.03969032041989893,0.033085516965253865,0.06604803454645067,0.13352515897188802,1.148368740201093,0.0
0.0,2,A2,0.03867143032328931,0.032187738460961526,0.06483691862327783,0.1568374287526702,1.1807855690702722,0.0
0.0,3,A2,0.04361398963718616,0.03700714036220491,0.06606849274981244,0.1527651334892724,1.1215417184258853,0.0
0.0,4,A2,0.04937457905244727,0.042468830066837084,0.06905748985610186,0.1572643918012144,1.1912993415731086,0.0
0.0,5,A2,0.03684666062856785,0.03045504901141323,0.06391611617154619,0.1531644469818272,1.1384537692754308,0.0
0.0,6,A2,0.027401629033079286,0.021711004335315462,0.056906246977638256,0.11681317784224395,1.1395947098776849,0.0
0.0,7,A2,0.03602394719379217,0.029936617062258745,0.06087330131533422,0.12536624095578439,1.0999090406644183,0.0
0.0,8,A2,0.0270290075220132,0.02099753730709674,0.060314702149164595,0.10860375804845522,1.1381944822011854,0.0
0.0,9,A2,0.05022078490492319,0.04323144976850061,0.0698933513642258,0.16639607459936023,1.1733824241090638,0.0
0.0,10,A2,0.04906017562598722,0.042126110625230334,0.06934065000756887,0.1715039051236599,1.1724365351398474,0.0
0.0,11,A2,0.03927243851605733,0.03265838027423399,0.06614058241823341,0.14061071588269297,1.1152200625701623,0.0
0.0,12,A2,0.026489973028065168,0.020684729927081903,0.05805243100983266,0.10371352752966398,1.120858786272231,0.0
